,0,1,2
311,DAMAN AND DIU,UTTARAKHAND,0
312,DAMAN AND DIU,WEST BENGAL,0
313,DAMAN AND DIU,DELHI NCT,0
314,DAMAN AND DIU,SIKKIM,0
315,GOA,ANDAMAN AND NICOBAR ISLANDS,0
316,GOA,ANDHRA PRADESH,51110
317,GOA,ARUNACHAL PRADESH,0
318,GOA,ASSAM,0
319,GOA,BIHAR,260
320,GOA,CHANDIGARH,0
321,GOA,CHHATTISGARH,0
322,GOA,DADRA AND NAGAR HAVELI,0
323,GOA,DAMAN AND DIU,0
324,GOA,GOA,0
325,GOA,GUJARAT,6071
326,GOA,HARYANA,0
327,GOA,HIMACHAL PRADESH,0
328,GOA,JAMMU AND KASHMIR,0
329,GOA,JHARKHAND,52
330,GOA,KARNATAKA,66227
331,GOA,KERALA,1081
332,GOA,LAKSHADWEEP,0
333,GOA,MADHYA PRADESH,6316
334,GOA,MAHARASHTRA,953670
335,GOA,MANIPUR,0
336,GOA,MEGHALAYA,0
337,GOA,MIZORAM,0
338,GOA,NAGALAND,0
339,GOA,ODISHA,9918
340,GOA,PUDUCHERRY,0
341,GOA,PUNJAB,0
342,GOA,RAJASTHAN,0
343,GOA,TAMIL NADU,337
344,GOA,TRIPURA,0
345,GOA,UTTAR PRADESH,17044
346,GOA,UTTARAKHAND,0
347,GOA,WEST BENGAL,21568
348,GOA,DELHI NCT,1416
349,GOA,SIKKIM,0
350,GUJARAT,ANDAMAN AND NICOBAR ISLANDS,0
351,GUJARAT,ANDHRA PRADESH,42638
352,GUJARAT,ARUNACHAL PRADESH,0
353,GUJARAT,ASSAM,124
354,GUJARAT,BIHAR,56661
355,GUJARAT,CHANDIGARH,0
356,GUJARAT,CHHATTISGARH,23617
357,GUJARAT,DADRA AND NAGAR HAVELI,0
358,GUJARAT,DAMAN AND DIU,0
359,GUJARAT,GOA,1400
360,GUJARAT,GUJARAT,0
361,GUJARAT,HARYANA,73716
362,GUJARAT,HIMACHAL PRADESH,0
363,GUJARAT,JAMMU AND KASHMIR,1679
364,GUJARAT,JHARKHAND,21449
365,GUJARAT,KARNATAKA,50554
366,GUJARAT,KERALA,27425
367,GUJARAT,LAKSHADWEEP,0
368,GUJARAT,MADHYA PRADESH,523206
369,GUJARAT,MAHARASHTRA,2232781
370,GUJARAT,MANIPUR,0
371,GUJARAT,MEGHALAYA,0
372,GUJARAT,MIZORAM,0
373,GUJARAT,NAGALAND,0
374,GUJARAT,ODISHA,38806
375,GUJARAT,PUDUCHERRY,0
376,GUJARAT,PUNJAB,3715
377,GUJARAT,RAJASTHAN,484035
378,GUJARAT,TAMIL NADU,23478
379,GUJARAT,TRIPURA,0
380,GUJARAT,UTTAR PRADESH,181698
381,GUJARAT,UTTARAKHAND,197
382,GUJARAT,WEST BENGAL,55297
383,GUJARAT,DELHI NCT,15949
384,GUJARAT,SIKKIM,0
385,HARYANA,ANDAMAN AND NICOBAR ISLANDS,0
386,HARYANA,ANDHRA PRADESH,0
387,HARYANA,ARUNACHAL PRADESH,0
388,HARYANA,ASSAM,0
389,HARYANA,BIHAR,20057
390,HARYANA,CHANDIGARH,560540
391,HARYANA,CHHATTISGARH,2306
392,HARYANA,DADRA AND NAGAR HAVELI,0
393,HARYANA,DAMAN AND DIU,0
394,HARYANA,GOA,0
395,HARYANA,GUJARAT,29849
396,HARYANA,HARYANA,0
397,HARYANA,HIMACHAL PRADESH,92481
398,HARYANA,JAMMU AND KASHMIR,165801
399,HARYANA,JHARKHAND,3475
400,HARYANA,KARNATAKA,0
401,HARYANA,KERALA,0
402,HARYANA,LAKSHADWEEP,0
403,HARYANA,MADHYA PRADESH,8436
404,HARYANA,MAHARASHTRA,43338
405,HARYANA,MANIPUR,0
406,HARYANA,MEGHALAYA,0
407,HARYANA,MIZORAM,0
408,HARYANA,NAGALAND,0
409,HARYANA,ODISHA,2385
410,HARYANA,PUDUCHERRY,0
411,HARYANA,PUNJAB,938758
412,HARYANA,RAJASTHAN,626189
413,HARYANA,TAMIL NADU,0
414,HARYANA,TRIPURA,0
415,HARYANA,UTTAR PRADESH,212309
416,HARYANA,UTTARAKHAND,66557
417,HARYANA,WEST BENGAL,10490
418,HARYANA,DELHI NCT,1238331
419,HARYANA,SIKKIM,0
420,HIMACHAL PRADESH,ANDAMAN AND NICOBAR ISLANDS,0
421,HIMACHAL PRADESH,ANDHRA PRADESH,0
422,HIMACHAL PRADESH,ARUNACHAL PRADESH,0
423,HIMACHAL PRADESH,ASSAM,0
424,HIMACHAL PRADESH,BIHAR,0
425,HIMACHAL PRADESH,CHANDIGARH,1219
426,HIMACHAL PRADESH,CHHATTISGARH,0
427,HIMACHAL PRADESH,DADRA AND NAGAR HAVELI,0
428,HIMACHAL PRADESH,DAMAN AND DIU,0
429,HIMACHAL PRADESH,GOA,0
430,HIMACHAL PRADESH,GUJARAT,0
431,HIMACHAL PRADESH,HARYANA,110397
432,HIMACHAL PRADESH,HIMACHAL PRADESH,0
433,HIMACHAL PRADESH,JAMMU AND KASHMIR,0
434,HIMACHAL PRADESH,JHARKHAND,0
435,HIMACHAL PRADESH,KARNATAKA,0
436,HIMACHAL PRADESH,KERALA,0
437,HIMACHAL PRADESH,LAKSHADWEEP,0
438,HIMACHAL PRADESH,MADHYA PRADESH,0
439,HIMACHAL PRADESH,MAHARASHTRA,0
440,HIMACHAL PRADESH,MANIPUR,0
441,HIMACHAL PRADESH,MEGHALAYA,0
442,HIMACHAL PRADESH,MIZORAM,0
443,HIMACHAL PRADESH,NAGALAND,0
444,HIMACHAL PRADESH,ODISHA,0
445,HIMACHAL PRADESH,PUDUCHERRY,0
446,HIMACHAL PRADESH,PUNJAB,32073
447,HIMACHAL PRADESH,RAJASTHAN,79247
448,HIMACHAL PRADESH,TAMIL NADU,0
449,HIMACHAL PRADESH,TRIPURA,0
450,HIMACHAL PRADESH,UTTAR PRADESH,0
451,HIMACHAL PRADESH,UTTARAKHAND,0
452,HIMACHAL PRADESH,WEST BENGAL,0
453,HIMACHAL PRADESH,DELHI NCT,0
454,HIMACHAL PRADESH,SIKKIM,0
455,JAMMU AND KASHMIR,ANDAMAN AND NICOBAR ISLANDS,0
456,JAMMU AND KASHMIR,ANDHRA PRADESH,0
457,JAMMU AND KASHMIR,ARUNACHAL PRADESH,0
458,JAMMU AND KASHMIR,ASSAM,0
459,JAMMU AND KASHMIR,BIHAR,71298
460,JAMMU AND KASHMIR,CHANDIGARH,0
461,JAMMU AND KASHMIR,CHHATTISGARH,3956
462,JAMMU AND KASHMIR,DADRA AND NAGAR HAVELI,0
463,JAMMU AND KASHMIR,DAMAN AND DIU,0
464,JAMMU AND KASHMIR,GOA,0
465,JAMMU AND KASHMIR,GUJARAT,11779
466,JAMMU AND KASHMIR,HARYANA,224726
467,JAMMU AND KASHMIR,HIMACHAL PRADESH,0
468,JAMMU AND KASHMIR,JAMMU AND KASHMIR,0
469,JAMMU AND KASHMIR,JHARKHAND,11677
470,JAMMU AND KASHMIR,KARNATAKA,0
471,JAMMU AND KASHMIR,KERALA,0
472,JAMMU AND KASHMIR,LAKSHADWEEP,0
473,JAMMU AND KASHMIR,MADHYA PRADESH,11249
474,JAMMU AND KASHMIR,MAHARASHTRA,21901
475,JAMMU AND KASHMIR,MANIPUR,0
476,JAMMU AND KASHMIR,MEGHALAYA,0
477,JAMMU AND KASHMIR,MIZORAM,0
478,JAMMU AND KASHMIR,NAGALAND,0
479,JAMMU AND KASHMIR,ODISHA,0
480,JAMMU AND KASHMIR,PUDUCHERRY,0
481,JAMMU AND KASHMIR,PUNJAB,245933
482,JAMMU AND KASHMIR,RAJASTHAN,187383
483,JAMMU AND KASHMIR,TAMIL NADU,0
484,JAMMU AND KASHMIR,TRIPURA,0
485,JAMMU AND KASHMIR,UTTAR PRADESH,608115
486,JAMMU AND KASHMIR,UTTARAKHAND,0
487,JAMMU AND KASHMIR,WEST BENGAL,32312
488,JAMMU AND KASHMIR,DELHI NCT,97056
489,JAMMU AND KASHMIR,SIKKIM,0
490,JHARKHAND,ANDAMAN AND NICOBAR ISLANDS,0
491,JHARKHAND,ANDHRA PRADESH,46210
492,JHARKHAND,ARUNACHAL PRADESH,0
493,JHARKHAND,ASSAM,17240
494,JHARKHAND,BIHAR,3333624
495,JHARKHAND,CHANDIGARH,0
496,JHARKHAND,CHHATTISGARH,41578
497,JHARKHAND,DADRA AND NAGAR HAVELI,0
498,JHARKHAND,DAMAN AND DIU,0
499,JHARKHAND,GOA,0
500,JHARKHAND,GUJARAT,7986
501,JHARKHAND,HARYANA,3436
502,JHARKHAND,HIMACHAL PRADESH,0
503,JHARKHAND,JAMMU AND KASHMIR,477
504,JHARKHAND,JHARKHAND,0
505,JHARKHAND,KARNATAKA,29025
506,JHARKHAND,KERALA,0
507,JHARKHAND,LAKSHADWEEP,0
508,JHARKHAND,MADHYA PRADESH,11482
509,JHARKHAND,MAHARASHTRA,127322
510,JHARKHAND,MANIPUR,0
511,JHARKHAND,MEGHALAYA,0
512,JHARKHAND,MIZORAM,0
513,JHARKHAND,NAGALAND,0
514,JHARKHAND,ODISHA,279877
515,JHARKHAND,PUDUCHERRY,0
516,JHARKHAND,PUNJAB,2104
517,JHARKHAND,RAJASTHAN,10902
518,JHARKHAND,TAMIL NADU,38687
519,JHARKHAND,TRIPURA,1133
520,JHARKHAND,UTTAR PRADESH,171433
521,JHARKHAND,UTTARAKHAND,3648
522,JHARKHAND,WEST BENGAL,2876313
523,JHARKHAND,DELHI NCT,4016
524,JHARKHAND,SIKKIM,0
525,KARNATAKA,ANDAMAN AND NICOBAR ISLANDS,0
526,KARNATAKA,ANDHRA PRADESH,985450
527,KARNATAKA,ARUNACHAL PRADESH,0
528,KARNATAKA,ASSAM,1931
529,KARNATAKA,BIHAR,30057
530,KARNATAKA,CHANDIGARH,0
531,KARNATAKA,CHHATTISGARH,35
532,KARNATAKA,DADRA AND NAGAR HAVELI,0
533,KARNATAKA,DAMAN AND DIU,0
534,KARNATAKA,GOA,181716
