,From,To,Weight
371,TAMIL NADU,TRIPURA,192
372,SIKKIM,PUNJAB,193
373,NAGALAND,MADHYA PRADESH,194
374,PUNJAB,SIKKIM,196
375,CHANDIGARH,CHHATTISGARH,198
376,CHANDIGARH,BIHAR,201
377,SIKKIM,BIHAR,201
378,TRIPURA,ANDHRA PRADESH,201
379,MANIPUR,GOA,202
380,SIKKIM,RAJASTHAN,204
381,MADHYA PRADESH,NAGALAND,204
382,MAHARASHTRA,SIKKIM,206
383,LAKSHADWEEP,MAHARASHTRA,206
384,HIMACHAL PRADESH,GOA,207
385,PUNJAB,ANDAMAN & NICOBAR ISLANDS,209
386,ANDAMAN & NICOBAR ISLANDS,UTTAR PRADESH,210
387,CHANDIGARH,ODISHA,211
388,HARYANA,DADRA & NAGAR HAVELI,213
389,PUDUCHERRY,GUJARAT,214
390,HARYANA,ANDAMAN & NICOBAR ISLANDS,214
391,JAMMU & KASHMIR,ARUNACHAL PRADESH,220
392,JAMMU & KASHMIR,NAGALAND,220
393,MIZORAM,ARUNACHAL PRADESH,225
394,ARUNACHAL PRADESH,BIHAR,226
395,HARYANA,SIKKIM,227
396,MEGHALAYA,KERALA,231
397,PUNJAB,ARUNACHAL PRADESH,232
398,PUNJAB,DADRA & NAGAR HAVELI,232
399,TAMIL NADU,NAGALAND,235
400,TAMIL NADU,MEGHALAYA,236
401,SIKKIM,ASSAM,237
402,ARUNACHAL PRADESH,PUNJAB,238
403,HARYANA,ARUNACHAL PRADESH,238
404,HIMACHAL PRADESH,NAGALAND,239
405,CHHATTISGARH,ASSAM,239
406,ARUNACHAL PRADESH,HARYANA,240
407,UTTARAKHAND,ARUNACHAL PRADESH,240
408,GOA,WEST BENGAL,242
409,NAGALAND,MIZORAM,245
410,MIZORAM,PUNJAB,246
411,PUDUCHERRY,NCT OF DELHI,246
412,UTTARAKHAND,SIKKIM,246
413,ANDAMAN & NICOBAR ISLANDS,GUJARAT,246
414,GOA,PUNJAB,248
415,NCT OF DELHI,ARUNACHAL PRADESH,248
416,TRIPURA,ODISHA,248
417,ARUNACHAL PRADESH,RAJASTHAN,250
418,CHANDIGARH,KERALA,250
419,TRIPURA,MADHYA PRADESH,252
420,HIMACHAL PRADESH,KERALA,252
421,TRIPURA,TAMIL NADU,252
422,RAJASTHAN,SIKKIM,255
423,TRIPURA,PUNJAB,256
424,UTTAR PRADESH,MANIPUR,258
425,CHHATTISGARH,DADRA & NAGAR HAVELI,259
426,TAMIL NADU,DAMAN & DIU,262
427,MIZORAM,NAGALAND,263
428,ANDAMAN & NICOBAR ISLANDS,GOA,263
429,ANDHRA PRADESH,NAGALAND,264
430,MEGHALAYA,MADHYA PRADESH,273
431,CHHATTISGARH,DAMAN & DIU,273
432,NAGALAND,HARYANA,275
433,SIKKIM,UTTAR PRADESH,275
434,ANDHRA PRADESH,DAMAN & DIU,281
435,MAHARASHTRA,ARUNACHAL PRADESH,286
436,TAMIL NADU,LAKSHADWEEP,286
437,GOA,ODISHA,288
438,TRIPURA,UTTAR PRADESH,289
439,HARYANA,MEGHALAYA,291
440,WEST BENGAL,MIZORAM,292
441,TRIPURA,UTTARAKHAND,295
442,HIMACHAL PRADESH,ASSAM,295
443,UTTAR PRADESH,MIZORAM,296
444,MEGHALAYA,ANDHRA PRADESH,296
445,ARUNACHAL PRADESH,ODISHA,300
446,NAGALAND,TAMIL NADU,300
447,MIZORAM,RAJASTHAN,304
448,ANDHRA PRADESH,MEGHALAYA,304
449,MEGHALAYA,HARYANA,305
450,ARUNACHAL PRADESH,TAMIL NADU,306
451,HARYANA,NAGALAND,307
452,NAGALAND,ODISHA,307
453,NAGALAND,BIHAR,311
454,MEGHALAYA,PUNJAB,313
455,JHARKHAND,MEGHALAYA,313
456,LAKSHADWEEP,UTTAR PRADESH,316
